params_index, n_variables, n_total_environments, sparsity, sample_size, dag_density, reps, data_simulator, dag_simulator, Method, Soft, Number of environments, Rep, Number of possible DAGs, MEC size, MEC total edges, MEC unoriented edges, Precision, Recall
1, 4, 2, 1, None, 0.3, 20, None, er, Min changes (oracle), False, 1, 14, 4, 4, 3, 6, 0, 0.0
1, 4, 2, 1, None, 0.3, 20, None, er, PC (pool all), False, 2, 14, 2, 4, 3, 6, 1.0, 0.6666666666666666
1, 4, 2, 1, None, 0.3, 20, None, er, Min changes (oracle), False, 2, 14, 2, 4, 3, 6, 1.0, 0.6666666666666666
1, 4, 2, 1, None, 0.3, 20, None, er, PC (pool all), False, 1, 15, 4, 4, 3, 6, 0, 0.0
1, 4, 2, 1, None, 0.3, 20, None, er, Min changes (oracle), False, 1, 15, 4, 4, 3, 6, 0, 0.0
1, 4, 2, 1, None, 0.3, 20, None, er, PC (pool all), False, 2, 15, 2, 4, 3, 6, 1.0, 0.6666666666666666
1, 4, 2, 1, None, 0.3, 20, None, er, Min changes (oracle), False, 2, 15, 2, 4, 3, 6, 1.0, 0.6666666666666666
1, 4, 2, 1, None, 0.3, 20, None, er, PC (pool all), False, 1, 16, 4, 4, 2, 4, 0, 0.0
1, 4, 2, 1, None, 0.3, 20, None, er, Min changes (oracle), False, 1, 16, 4, 4, 2, 4, 0, 0.0
1, 4, 2, 1, None, 0.3, 20, None, er, PC (pool all), False, 2, 16, 2, 4, 2, 4, 1.0, 0.5
1, 4, 2, 1, None, 0.3, 20, None, er, Min changes (oracle), False, 2, 16, 2, 4, 2, 4, 1.0, 0.5
1, 4, 2, 1, None, 0.3, 20, None, er, PC (pool all), False, 1, 17, 2, 2, 1, 2, 0, 0.0
1, 4, 2, 1, None, 0.3, 20, None, er, Min changes (oracle), False, 1, 17, 2, 2, 1, 2, 0, 0.0
1, 4, 2, 1, None, 0.3, 20, None, er, PC (pool all), False, 2, 17, 2, 2, 1, 2, 0, 0.0
1, 4, 2, 1, None, 0.3, 20, None, er, Min changes (oracle), False, 2, 17, 2, 2, 1, 2, 0, 0.0
1, 4, 2, 1, None, 0.3, 20, None, er, PC (pool all), False, 1, 18, 3, 3, 2, 4, 0, 0.0
1, 4, 2, 1, None, 0.3, 20, None, er, Min changes (oracle), False, 1, 18, 3, 3, 2, 4, 0, 0.0
1, 4, 2, 1, None, 0.3, 20, None, er, PC (pool all), False, 2, 18, 3, 3, 2, 4, 0, 0.0
1, 4, 2, 1, None, 0.3, 20, None, er, Min changes (oracle), False, 2, 18, 3, 3, 2, 4, 0, 0.0
1, 4, 2, 1, None, 0.3, 20, None, er, PC (pool all), False, 1, 19, 2, 2, 1, 2, 0, 0.0
1, 4, 2, 1, None, 0.3, 20, None, er, Min changes (oracle), False, 1, 19, 2, 2, 1, 2, 0, 0.0
1, 4, 2, 1, None, 0.3, 20, None, er, PC (pool all), False, 2, 19, 1, 2, 1, 2, 1.0, 1.0
1, 4, 2, 1, None, 0.3, 20, None, er, Min changes (oracle), False, 2, 19, 1, 2, 1, 2, 1.0, 1.0
2, 4, 2, 1, None, 0.5, 20, None, er, PC (pool all), False, 1, 0, 4, 4, 3, 6, 0, 0.0
2, 4, 2, 1, None, 0.5, 20, None, er, Min changes (oracle), False, 1, 0, 4, 4, 3, 6, 0, 0.0
2, 4, 2, 1, None, 0.5, 20, None, er, PC (pool all), False, 2, 0, 1, 4, 3, 6, 1.0, 1.0
2, 4, 2, 1, None, 0.5, 20, None, er, Min changes (oracle), False, 2, 0, 1, 4, 3, 6, 1.0, 1.0
2, 4, 2, 1, None, 0.5, 20, None, er, PC (pool all), False, 1, 1, 8, 8, 4, 8, 0, 0.0
2, 4, 2, 1, None, 0.5, 20, None, er, Min changes (oracle), False, 1, 1, 8, 8, 4, 8, 0, 0.0
2, 4, 2, 1, None, 0.5, 20, None, er, PC (pool all), False, 2, 1, 2, 8, 4, 8, 1.0, 0.75
2, 4, 2, 1, None, 0.5, 20, None, er, Min changes (oracle), False, 2, 1, 2, 8, 4, 8, 1.0, 0.75
2, 4, 2, 1, None, 0.5, 20, None, er, PC (pool all), False, 1, 2, 4, 4, 2, 4, 0, 0.0
2, 4, 2, 1, None, 0.5, 20, None, er, Min changes (oracle), False, 1, 2, 4, 4, 2, 4, 0, 0.0
