params_index, test, test_kwargs, nonlinearity, noise_df, intervention, combination, intervention_shift, intervention_scale, intervention_targets, n_samples, rep, dag, X1, X2
6, kci, {}, id, 2, soft, additive, 1, 0, [None,0], 200, 5, YX, 0.0, 0.545
6, kci, {}, id, 2, soft, additive, 1, 0, [None,0], 200, 6, XY, 0.0, 0.0
6, kci, {}, id, 2, soft, additive, 1, 0, [None,0], 200, 6, YX, 0.0, 0.143
6, kci, {}, id, 2, soft, additive, 1, 0, [None,0], 200, 7, XY, 0.0, 0.0
6, kci, {}, id, 2, soft, additive, 1, 0, [None,0], 200, 7, YX, 0.0, 0.227
6, kci, {}, id, 2, soft, additive, 1, 0, [None,0], 200, 8, XY, 0.0, 0.001
6, kci, {}, id, 2, soft, additive, 1, 0, [None,0], 200, 8, YX, 0.0, 0.336
6, kci, {}, id, 2, soft, additive, 1, 0, [None,0], 200, 9, XY, 0.0, 0.002
6, kci, {}, id, 2, soft, additive, 1, 0, [None,0], 200, 9, YX, 0.0, 0.658
6, fisherz, {}, id, 2, soft, additive, 1, 0, [None,0], 200, 0, XY, 0.555, 0.0
6, fisherz, {}, id, 2, soft, additive, 1, 0, [None,0], 200, 0, YX, 0.0, 0.985
6, fisherz, {}, id, 2, soft, additive, 1, 0, [None,0], 200, 1, XY, 0.001, 0.0
6, fisherz, {}, id, 2, soft, additive, 1, 0, [None,0], 200, 1, YX, 0.0, 0.419
6, fisherz, {}, id, 2, soft, additive, 1, 0, [None,0], 200, 2, XY, 0.015, 0.004
6, fisherz, {}, id, 2, soft, additive, 1, 0, [None,0], 200, 2, YX, 0.0, 0.651
6, fisherz, {}, id, 2, soft, additive, 1, 0, [None,0], 200, 3, XY, 0.0, 0.0
6, fisherz, {}, id, 2, soft, additive, 1, 0, [None,0], 200, 3, YX, 0.0, 0.336
6, fisherz, {}, id, 2, soft, additive, 1, 0, [None,0], 200, 4, XY, 0.043, 0.001
6, fisherz, {}, id, 2, soft, additive, 1, 0, [None,0], 200, 4, YX, 0.0, 0.997
6, fisherz, {}, id, 2, soft, additive, 1, 0, [None,0], 200, 5, XY, 0.001, 0.001
6, fisherz, {}, id, 2, soft, additive, 1, 0, [None,0], 200, 5, YX, 0.0, 0.81
6, fisherz, {}, id, 2, soft, additive, 1, 0, [None,0], 200, 6, XY, 0.0, 0.0
6, fisherz, {}, id, 2, soft, additive, 1, 0, [None,0], 200, 6, YX, 0.0, 0.211
6, fisherz, {}, id, 2, soft, additive, 1, 0, [None,0], 200, 7, XY, 0.0, 0.0
6, fisherz, {}, id, 2, soft, additive, 1, 0, [None,0], 200, 7, YX, 0.0, 0.735
6, fisherz, {}, id, 2, soft, additive, 1, 0, [None,0], 200, 8, XY, 0.001, 0.001
6, fisherz, {}, id, 2, soft, additive, 1, 0, [None,0], 200, 8, YX, 0.0, 0.686
6, fisherz, {}, id, 2, soft, additive, 1, 0, [None,0], 200, 9, XY, 0.034, 0.002
6, fisherz, {}, id, 2, soft, additive, 1, 0, [None,0], 200, 9, YX, 0.0, 0.466
7, kci, {}, id, 2, soft, additive, 1, 0, [None,1], 200, 0, XY, 0.0, 0.0
7, kci, {}, id, 2, soft, additive, 1, 0, [None,1], 200, 0, YX, 1.0, 0.0
7, kci, {}, id, 2, soft, additive, 1, 0, [None,1], 200, 1, XY, 0.0, 0.0
7, kci, {}, id, 2, soft, additive, 1, 0, [None,1], 200, 1, YX, 1.0, 0.0
7, kci, {}, id, 2, soft, additive, 1, 0, [None,1], 200, 2, XY, 0.0, 0.005
7, kci, {}, id, 2, soft, additive, 1, 0, [None,1], 200, 2, YX, 0.433, 0.0
7, kci, {}, id, 2, soft, additive, 1, 0, [None,1], 200, 3, XY, 0.0, 0.0
7, kci, {}, id, 2, soft, additive, 1, 0, [None,1], 200, 3, YX, 0.372, 0.0
7, kci, {}, id, 2, soft, additive, 1, 0, [None,1], 200, 4, XY, 0.01, 0.001
7, kci, {}, id, 2, soft, additive, 1, 0, [None,1], 200, 4, YX, 0.296, 0.0
7, kci, {}, id, 2, soft, additive, 1, 0, [None,1], 200, 5, XY, 0.0, 0.0
7, kci, {}, id, 2, soft, additive, 1, 0, [None,1], 200, 5, YX, 0.308, 0.0
7, kci, {}, id, 2, soft, additive, 1, 0, [None,1], 200, 6, XY, 0.073, 0.0
7, kci, {}, id, 2, soft, additive, 1, 0, [None,1], 200, 6, YX, 0.238, 0.0
7, kci, {}, id, 2, soft, additive, 1, 0, [None,1], 200, 7, XY, 0.008, 0.0
7, kci, {}, id, 2, soft, additive, 1, 0, [None,1], 200, 7, YX, 0.582, 0.0
7, kci, {}, id, 2, soft, additive, 1, 0, [None,1], 200, 8, XY, 0.0, 0.0
7, kci, {}, id, 2, soft, additive, 1, 0, [None,1], 200, 8, YX, 0.383, 0.0
7, kci, {}, id, 2, soft, additive, 1, 0, [None,1], 200, 9, XY, 0.0, 0.001
7, kci, {}, id, 2, soft, additive, 1, 0, [None,1], 200, 9, YX, 0.41, 0.0
7, fisherz, {}, id, 2, soft, additive, 1, 0, [None,1], 200, 0, XY, 0.0, 0.0
7, fisherz, {}, id, 2, soft, additive, 1, 0, [None,1], 200, 0, YX, 1.0, 0.0
7, fisherz, {}, id, 2, soft, additive, 1, 0, [None,1], 200, 1, XY, 0.039, 0.0
7, fisherz, {}, id, 2, soft, additive, 1, 0, [None,1], 200, 1, YX, 1.0, 0.002
7, fisherz, {}, id, 2, soft, additive, 1, 0, [None,1], 200, 2, XY, 0.0, 0.005
7, fisherz, {}, id, 2, soft, additive, 1, 0, [None,1], 200, 2, YX, 0.433, 0.0
7, fisherz, {}, id, 2, soft, additive, 1, 0, [None,1], 200, 3, XY, 0.893, 0.0
7, fisherz, {}, id, 2, soft, additive, 1, 0, [None,1], 200, 3, YX, 0.372, 0.067
7, fisherz, {}, id, 2, soft, additive, 1, 0, [None,1], 200, 4, XY, 0.915, 0.001
7, fisherz, {}, id, 2, soft, additive, 1, 0, [None,1], 200, 4, YX, 0.296, 0.074
7, fisherz, {}, id, 2, soft, additive, 1, 0, [None,1], 200, 5, XY, 0.044, 0.0
7, fisherz, {}, id, 2, soft, additive, 1, 0, [None,1], 200, 5, YX, 0.308, 0.001
7, fisherz, {}, id, 2, soft, additive, 1, 0, [None,1], 200, 6, XY, 0.87, 0.0
7, fisherz, {}, id, 2, soft, additive, 1, 0, [None,1], 200, 6, YX, 0.238, 0.007
7, fisherz, {}, id, 2, soft, additive, 1, 0, [None,1], 200, 7, XY, 0.385, 0.0
7, fisherz, {}, id, 2, soft, additive, 1, 0, [None,1], 200, 7, YX, 0.582, 0.242
7, fisherz, {}, id, 2, soft, additive, 1, 0, [None,1], 200, 8, XY, 0.022, 0.0
7, fisherz, {}, id, 2, soft, additive, 1, 0, [None,1], 200, 8, YX, 0.383, 0.0
7, fisherz, {}, id, 2, soft, additive, 1, 0, [None,1], 200, 9, XY, 0.055, 0.001
7, fisherz, {}, id, 2, soft, additive, 1, 0, [None,1], 200, 9, YX, 0.41, 0.168
8, kci, {}, id, 2, soft, additive, 1, 1, [None,0], 200, 0, XY, 0.0, 0.0
8, kci, {}, id, 2, soft, additive, 1, 1, [None,0], 200, 0, YX, 0.0, 0.319
8, kci, {}, id, 2, soft, additive, 1, 1, [None,0], 200, 1, XY, 0.0, 0.0
8, kci, {}, id, 2, soft, additive, 1, 1, [None,0], 200, 1, YX, 0.0, 0.186
8, kci, {}, id, 2, soft, additive, 1, 1, [None,0], 200, 2, XY, 0.0, 0.002
8, kci, {}, id, 2, soft, additive, 1, 1, [None,0], 200, 2, YX, 0.0, 0.166
8, kci, {}, id, 2, soft, additive, 1, 1, [None,0], 200, 3, XY, 0.0, 0.0
8, kci, {}, id, 2, soft, additive, 1, 1, [None,0], 200, 3, YX, 0.0, 0.943
8, kci, {}, id, 2, soft, additive, 1, 1, [None,0], 200, 4, XY, 0.0, 0.0
8, kci, {}, id, 2, soft, additive, 1, 1, [None,0], 200, 4, YX, 0.0, 0.783
8, kci, {}, id, 2, soft, additive, 1, 1, [None,0], 200, 5, XY, 0.0, 0.0
8, kci, {}, id, 2, soft, additive, 1, 1, [None,0], 200, 5, YX, 0.0, 0.609
8, kci, {}, id, 2, soft, additive, 1, 1, [None,0], 200, 6, XY, 0.0, 0.0
8, kci, {}, id, 2, soft, additive, 1, 1, [None,0], 200, 6, YX, 0.0, 0.046
8, kci, {}, id, 2, soft, additive, 1, 1, [None,0], 200, 7, XY, 0.0, 0.0
8, kci, {}, id, 2, soft, additive, 1, 1, [None,0], 200, 7, YX, 0.0, 0.451
8, kci, {}, id, 2, soft, additive, 1, 1, [None,0], 200, 8, XY, 0.0, 0.001
8, kci, {}, id, 2, soft, additive, 1, 1, [None,0], 200, 8, YX, 0.0, 0.222
8, kci, {}, id, 2, soft, additive, 1, 1, [None,0], 200, 9, XY, 0.0, 0.001
8, kci, {}, id, 2, soft, additive, 1, 1, [None,0], 200, 9, YX, 0.0, 0.431
8, fisherz, {}, id, 2, soft, additive, 1, 1, [None,0], 200, 0, XY, 0.542, 0.0
8, fisherz, {}, id, 2, soft, additive, 1, 1, [None,0], 200, 0, YX, 0.0, 0.983
8, fisherz, {}, id, 2, soft, additive, 1, 1, [None,0], 200, 1, XY, 0.015, 0.0
8, fisherz, {}, id, 2, soft, additive, 1, 1, [None,0], 200, 1, YX, 0.0, 0.43
8, fisherz, {}, id, 2, soft, additive, 1, 1, [None,0], 200, 2, XY, 0.261, 0.002
8, fisherz, {}, id, 2, soft, additive, 1, 1, [None,0], 200, 2, YX, 0.0, 0.596
8, fisherz, {}, id, 2, soft, additive, 1, 1, [None,0], 200, 3, XY, 0.066, 0.0
8, fisherz, {}, id, 2, soft, additive, 1, 1, [None,0], 200, 3, YX, 0.0, 0.338
8, fisherz, {}, id, 2, soft, additive, 1, 1, [None,0], 200, 4, XY, 0.816, 0.0
8, fisherz, {}, id, 2, soft, additive, 1, 1, [None,0], 200, 4, YX, 0.0, 0.944
8, fisherz, {}, id, 2, soft, additive, 1, 1, [None,0], 200, 5, XY, 0.008, 0.0
8, fisherz, {}, id, 2, soft, additive, 1, 1, [None,0], 200, 5, YX, 0.0, 0.809
8, fisherz, {}, id, 2, soft, additive, 1, 1, [None,0], 200, 6, XY, 0.001, 0.0
