params_index, test, test_kwargs, nonlinearity, noise_df, intervention, combination, intervention_shift, intervention_scale, pre_intervention, intervention_targets, n_samples, rep, dag, X1, X2
1, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,1], 100, 1, YX, 0.542, 0.0
1, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,1], 100, 2, XY, 0.001, 0.0
1, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,1], 100, 2, YX, 0.175, 0.0
1, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,1], 100, 3, XY, 0.006, 0.0
1, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,1], 100, 3, YX, 0.259, 0.0
1, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,1], 100, 4, XY, 0.006, 0.0
1, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,1], 100, 4, YX, 0.302, 0.0
1, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,1], 100, 5, XY, 0.006, 0.0
1, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,1], 100, 5, YX, 0.256, 0.0
1, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,1], 100, 6, XY, 0.001, 0.0
1, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,1], 100, 6, YX, 0.083, 0.0
1, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,1], 100, 7, XY, 0.006, 0.0
1, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,1], 100, 7, YX, 0.814, 0.0
1, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,1], 100, 8, XY, 0.054, 0.0
1, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,1], 100, 8, YX, 0.491, 0.0
1, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,1], 100, 9, XY, 0.0, 0.0
1, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,1], 100, 9, YX, 0.045, 0.0
1, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,1], 200, 0, XY, 0.0, 0.0
1, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,1], 200, 0, YX, 0.144, 0.0
1, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,1], 200, 1, XY, 0.0, 0.0
1, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,1], 200, 1, YX, 1.0, 0.0
