params_index, test, test_kwargs, nonlinearity, noise_df, intervention, combination, intervention_shift, intervention_scale, intervention_targets, n_samples, rep, dag, X1, X2
5, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,1], 200, 7, YX, 0.582, 0.003
5, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,1], 200, 8, XY, 0.221, 0.001
5, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,1], 200, 8, YX, 0.383, 0.0
5, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,1], 200, 9, XY, 0.545, 0.0
5, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,1], 200, 9, YX, 0.41, 0.004
5, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,1], 200, 0, XY, 0.0, 0.0
5, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,1], 200, 0, YX, 1.0, 0.0
5, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,1], 200, 1, XY, 0.27, 0.001
5, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,1], 200, 1, YX, 1.0, 0.0
5, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,1], 200, 2, XY, 0.394, 0.01
5, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,1], 200, 2, YX, 0.433, 0.0
5, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,1], 200, 3, XY, 0.628, 0.0
5, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,1], 200, 3, YX, 0.372, 0.003
5, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,1], 200, 4, XY, 0.965, 0.0
5, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,1], 200, 4, YX, 0.296, 0.0
5, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,1], 200, 5, XY, 0.27, 0.0
5, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,1], 200, 5, YX, 0.308, 0.003
5, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,1], 200, 6, XY, 0.178, 0.0
5, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,1], 200, 6, YX, 0.238, 0.0
5, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,1], 200, 7, XY, 0.628, 0.0
5, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,1], 200, 7, YX, 0.582, 0.006
5, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,1], 200, 8, XY, 0.466, 0.001
5, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,1], 200, 8, YX, 0.383, 0.0
5, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,1], 200, 9, XY, 0.545, 0.0
5, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,1], 200, 9, YX, 0.41, 0.003
6, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 1, 0, [None,0], 200, 0, XY, 0.0, 0.0
6, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 1, 0, [None,0], 200, 0, YX, 0.0, 0.178
6, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 1, 0, [None,0], 200, 1, XY, 0.001, 0.0
6, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 1, 0, [None,0], 200, 1, YX, 0.0, 0.466
6, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 1, 0, [None,0], 200, 2, XY, 0.0, 0.004
6, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 1, 0, [None,0], 200, 2, YX, 0.0, 0.924
6, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 1, 0, [None,0], 200, 3, XY, 0.0, 0.0
6, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 1, 0, [None,0], 200, 3, YX, 0.0, 0.965
6, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 1, 0, [None,0], 200, 4, XY, 0.0, 0.001
6, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 1, 0, [None,0], 200, 4, YX, 0.0, 0.27
6, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 1, 0, [None,0], 200, 5, XY, 0.0, 0.001
6, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 1, 0, [None,0], 200, 5, YX, 0.0, 0.628
6, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 1, 0, [None,0], 200, 6, XY, 0.0, 0.0
6, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 1, 0, [None,0], 200, 6, YX, 0.0, 0.713
6, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 1, 0, [None,0], 200, 7, XY, 0.0, 0.0
6, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 1, 0, [None,0], 200, 7, YX, 0.0, 0.221
6, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 1, 0, [None,0], 200, 8, XY, 0.0, 0.001
6, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 1, 0, [None,0], 200, 8, YX, 0.0, 0.394
6, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 1, 0, [None,0], 200, 9, XY, 0.016, 0.002
6, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 1, 0, [None,0], 200, 9, YX, 0.0, 0.328
