Params, Params, Params, Params, XY, XY, YX, YX
params_index, intervention_targets, n_samples, rep, X1, X2, X1, X2
3, [0,1], 50, 15, 0.059, 0.024, 0.0, 0.772
3, [0,1], 50, 16, 0.188, 0.0, 0.021, 0.386
3, [0,1], 50, 17, 0.644, 0.0, 0.0, 0.545
3, [0,1], 50, 18, 0.248, 0.191, 0.045, 0.158
3, [0,1], 50, 19, 0.119, 0.002, 0.0, 0.129
3, [0,1], 100, 0, 0.139, 0.0, 0.001, 0.723
3, [0,1], 100, 1, 0.01, 0.002, 0.047, 0.03
3, [0,1], 100, 2, 0.01, 1.0, 0.0, 0.139
3, [0,1], 100, 3, 0.119, 0.0, 0.714, 0.01
3, [0,1], 100, 4, 0.089, 0.0, 0.0, 0.782
3, [0,1], 100, 5, 0.683, 0.0, 0.157, 0.01
3, [0,1], 100, 6, 0.347, 0.0, 0.001, 0.02
3, [0,1], 100, 7, 0.693, 0.0, 0.0, 0.832
3, [0,1], 100, 8, 0.475, 0.0, 0.0, 0.069
3, [0,1], 100, 9, 0.792, 0.0, 0.0, 0.653
3, [0,1], 100, 10, 0.842, 0.0, 0.0, 0.871
3, [0,1], 100, 11, 0.079, 0.0, 0.0, 0.01
3, [0,1], 100, 12, 0.01, 0.375, 0.0, 0.832
3, [0,1], 100, 13, 0.861, 0.0, 0.001, 0.287
3, [0,1], 100, 14, 0.287, 0.001, 0.094, 0.079
3, [0,1], 100, 15, 0.04, 0.001, 0.0, 0.941
3, [0,1], 100, 16, 0.02, 0.038, 0.135, 0.01
3, [0,1], 100, 17, 0.01, 0.059, 0.0, 0.505
3, [0,1], 100, 18, 0.713, 0.0, 0.003, 0.01
3, [0,1], 100, 19, 0.109, 0.0, 0.001, 0.178
3, [0,1], 200, 0, 0.109, 0.0, 0.001, 0.01
3, [0,1], 200, 1, 0.129, 0.0, 0.0, 0.743
3, [0,1], 200, 2, 0.257, 0.0, 0.0, 0.495
3, [0,1], 200, 3, 0.238, 0.0, 0.103, 0.02
3, [0,1], 200, 4, 0.792, 0.0, 0.0, 0.396
3, [0,1], 200, 5, 0.02, 0.0, 0.0, 0.713
3, [0,1], 200, 6, 0.752, 0.0, 0.0, 0.95
3, [0,1], 200, 7, 0.693, 0.0, 0.0, 0.267
3, [0,1], 200, 8, 0.05, 0.0, 0.0, 0.059
3, [0,1], 200, 9, 0.842, 0.009, 0.021, 0.02
3, [0,1], 200, 10, 0.832, 0.0, 0.0, 0.941
3, [0,1], 200, 11, 0.168, 0.0, 0.0, 0.05
3, [0,1], 200, 12, 0.861, 0.0, 0.0, 0.03
3, [0,1], 200, 13, 0.762, 0.0, 0.05, 0.634
