params_index, test, test_kwargs, nonlinearity, noise_df, intervention, combination, intervention_shift, intervention_scale, intervention_targets, n_samples, rep, dag, X1, X2, X3
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, [None,0], 200, 3, DAG-19, 0.0, 0.001, 0.965
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, [None,0], 200, 3, DAG-23, 0.0, 0.04, 0.0
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, [None,0], 200, 4, DAG-1, 0.0, 0.713, 0.713
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, [None,0], 200, 4, DAG-5, 0.0, 0.965, 0.001
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, [None,0], 200, 4, DAG-7, 0.0, 0.965, 0.545
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, [None,0], 200, 4, DAG-17, 0.0, 0.0, 0.545
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, [None,0], 200, 4, DAG-19, 0.0, 0.0, 0.713
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, [None,0], 200, 4, DAG-23, 0.0, 0.328, 0.001
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, [None,0], 200, 5, DAG-1, 0.0, 0.866, 0.466
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, [None,0], 200, 5, DAG-5, 0.0, 0.628, 0.0
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, [None,0], 200, 5, DAG-7, 0.0, 0.628, 0.793
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, [None,0], 200, 5, DAG-17, 0.0, 0.0, 0.012
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, [None,0], 200, 5, DAG-19, 0.0, 0.0, 0.466
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, [None,0], 200, 5, DAG-23, 0.0, 0.713, 0.0
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, [None,0], 200, 6, DAG-1, 0.0, 0.328, 0.068
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, [None,0], 200, 6, DAG-5, 0.0, 0.628, 0.0
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, [None,0], 200, 6, DAG-7, 0.0, 0.628, 0.112
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, [None,0], 200, 6, DAG-17, 0.0, 0.0, 0.04
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, [None,0], 200, 6, DAG-19, 0.0, 0.0, 0.068
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, [None,0], 200, 6, DAG-23, 0.0, 0.466, 0.0
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, [None,0], 200, 7, DAG-1, 0.0, 0.112, 0.466
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, [None,0], 200, 7, DAG-5, 0.0, 0.112, 0.0
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, [None,0], 200, 7, DAG-7, 0.0, 0.112, 0.793
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, [None,0], 200, 7, DAG-17, 0.0, 0.002, 0.001
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, [None,0], 200, 7, DAG-19, 0.0, 0.002, 0.466
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, [None,0], 200, 7, DAG-23, 0.0, 0.178, 0.0
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, [None,0], 200, 8, DAG-1, 0.0, 0.793, 0.866
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, [None,0], 200, 8, DAG-5, 0.0, 0.866, 0.006
