Params, Params, Params, Params, DAG-1, DAG-1, DAG-1, DAG-5, DAG-5, DAG-5, DAG-7, DAG-7, DAG-7, DAG-17, DAG-17, DAG-17, DAG-19, DAG-19, DAG-19, DAG-23, DAG-23, DAG-23
params_index, intervention_targets, n_samples, rep, X1, X2, X3, X1, X2, X3, X1, X2, X3, X1, X2, X3, X1, X2, X3, X1, X2, X3
1, [None,1], 100, 1, 0.297, 0.01, 0.257, 0.515, 0.525, 0.0, 0.297, 0.594, 0.01, 0.703, 0.0, 0.406, 0.772, 0.0, 0.267, 0.752, 0.564, 0.0
1, [None,1], 100, 2, 1.0, 0.693, 0.594, 0.98, 0.822, 0.318, 1.0, 0.851, 0.802, 0.624, 0.133, 0.119, 0.406, 0.133, 0.584, 0.594, 0.941, 0.318
1, [None,1], 100, 3, 0.039, 0.03, 0.188, 0.574, 0.01, 0.059, 0.039, 0.01, 0.802, 0.01, 0.0, 0.465, 0.158, 0.0, 0.158, 0.01, 0.02, 0.059
1, [None,1], 100, 4, 1.0, 0.01, 0.525, 0.436, 0.03, 0.0, 1.0, 0.03, 0.01, 0.228, 0.0, 0.238, 0.485, 0.0, 0.564, 0.178, 0.366, 0.0
1, [None,1], 100, 5, 0.271, 0.01, 0.802, 0.525, 0.554, 0.153, 0.271, 0.535, 0.149, 0.683, 0.026, 0.772, 0.505, 0.026, 0.782, 0.663, 0.475, 0.153
1, [None,1], 100, 6, 0.301, 0.02, 0.099, 0.931, 0.01, 0.229, 0.301, 0.01, 0.693, 0.554, 0.007, 0.277, 0.198, 0.007, 0.109, 0.465, 0.03, 0.229
1, [None,1], 100, 7, 0.45, 0.04, 0.723, 0.396, 0.03, 0.107, 0.45, 0.03, 0.02, 0.287, 0.0, 0.307, 0.475, 0.0, 0.723, 0.158, 0.05, 0.107
1, [None,1], 100, 8, 1.0, 0.01, 0.713, 0.099, 0.02, 0.0, 1.0, 0.01, 0.01, 0.386, 0.0, 0.366, 0.297, 0.0, 0.772, 0.416, 0.02, 0.0
1, [None,1], 100, 9, 1.0, 0.535, 0.832, 0.158, 0.772, 0.23, 1.0, 0.842, 0.505, 0.396, 0.191, 0.871, 0.307, 0.191, 0.822, 0.366, 0.822, 0.23
1, [None,1], 100, 10, 0.265, 0.436, 0.297, 0.584, 0.287, 0.001, 0.265, 0.297, 0.297, 0.426, 0.001, 0.208, 0.089, 0.001, 0.386, 0.386, 0.386, 0.001
